,movieID,title,imdbID,ratingAvg,imdbRating Avg,Rotten TomatoesAvg,Internet Movie Database Avg,Metascore Avg,Metacritic Avg
844798,6990.0,The Great Train Robbery,tt0000439,3.696969696969697,3.650000000000002,5.0,3.650000000000002,,
850743,7065.0,The Birth of a Nation,tt0004972,3.2282608695652173,3.1999999999999997,4.650000000000004,3.1999999999999997,,
859392,7243.0,Intolerance: Love's Struggle Throughout the Ages,tt0006864,3.9285714285714284,3.899999999999999,4.8500000000000005,3.899999999999999,4.950000000000001,4.950000000000001
886762,8511.0,The Immigrant,tt0008133,3.75,3.8500000000000005,,3.8500000000000005,,
971742,48374.0,Otets Sergiy,tt0008395,3.0,3.55,,3.55,,
562994,3309.0,A Dog's Life,tt0009018,4.071428571428571,3.8999999999999995,,3.8999999999999995,,
844714,6988.0,Broken Blossoms or The Yellow Man and the Girl,tt0009968,2.769230769230769,3.649999999999999,4.75,3.649999999999999,,
844601,6987.0,Das Cabinet des Dr. Caligari.,tt0010323,3.830357142857143,4.050000000000007,5.0,4.050000000000007,,
506265,2821.0,Male and Female,tt0010418,,3.5,,3.5,,
506362,2823.0,"Die Spinnen, 1. Teil - Der Goldene See",tt0010726,3.0,3.3,5.0,3.3,,
910349,25737.0,"Der Golem, wie er in die Welt kam",tt0011237,4.0,3.6,5.0,3.6,,
553897,3231.0,The Saphead,tt0011652,2.5,3.1,2.5,3.1,,
851250,7077.0,Way Down East,tt0011841,2.9,3.7,4.7,3.7,,
768772,5722.0,The Goat,tt0012224,3.611111111111111,3.8500000000000005,,3.8500000000000005,,
813541,6499.0,Orphans of the Storm,tt0012532,3.5,3.7,4.6,3.7,,
573180,3458.0,Blood and Sand,tt0012952,2.6666666666666665,3.2000000000000006,5.0,3.2000000000000006,,
696921,4768.0,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",tt0013086,3.3529411764705883,3.950000000000001,4.699999999999999,3.950000000000001,,
471344,2584.0,Foolish Wives,tt0013140,1.6666666666666667,3.5500000000000003,4.6000000000000005,3.5500000000000003,,
910351,25744.0,Häxan,tt0013257,3.1666666666666665,3.85,4.4,3.85,,
959838,44587.0,Nanook of the North,tt0013427,3.7,3.8,5.0,3.8,,
281795,1348.0,"Nosferatu, eine Symphonie des Grauens",tt0013442,3.792207792207792,3.9500000000000006,4.850000000000013,3.9500000000000006,,
552015,3195.0,Tess of the Storm Country,tt0013662,,3.65,,3.65,,
889489,8609.0,Our Hospitality,tt0014341,4.03125,3.899999999999999,4.799999999999999,3.899999999999999,,
879380,8235.0,Safety Last!,tt0014429,4.0,4.049999999999998,4.849999999999997,4.049999999999998,,
543046,3140.0,Three Ages,tt0014538,4.1,3.55,5.0,3.55,,
597394,3641.0,A Woman of Paris: A Drama of Fate,tt0014624,4.125,3.55,4.6,3.55,,
995631,57480.0,The Iron Horse,tt0015016,4.0,3.6,4.0,3.6,,
679821,4405.0,Der letzte Mann,tt0015064,3.8421052631578947,4.049999999999999,5.0,4.049999999999999,,
910371,25750.0,Sherlock Jr.,tt0015324,4.155172413793103,4.099999999999998,4.75,4.099999999999998,,
774684,7302.0,The Thief of Bagdad,tt0015400,3.735294117647059,3.8999999999999893,4.799999999999992,3.8999999999999893,,
606486,3742.0,Bronenosets Potyomkin,tt0015648,3.810185185185185,4.0,5.0,4.0,,
596501,3629.0,The Gold Rush,tt0015864,4.121848739495798,4.1000000000000085,5.0,4.1000000000000085,,
910391,25753.0,Greed,tt0015881,4.142857142857143,4.049999999999999,5.0,4.049999999999999,,
698071,4794.0,The Phantom of the Opera,tt0016220,3.40625,3.799999999999999,4.549999999999999,3.799999999999999,,
417332,2229.0,The Pleasure Garden,tt0016230,,3.0,,3.0,,
553907,3232.0,Seven Chances,tt0016332,3.772727272727273,4.0,5.0,4.0,,
531342,3012.0,Battling Butler,tt0016630,4.0,3.5499999999999994,3.9,3.5499999999999994,,
861919,7309.0,The Black Pirate,tt0016654,4.0,3.55,5.0,3.55,,
382806,2010.0,Metropolis,tt0017136,3.7956656346749225,4.15000000000005,4.849999999999945,4.15000000000005,4.900000000000056,4.900000000000056
577138,3492.0,The Son of the Sheik,tt0017416,3.5,3.6999999999999997,3.75,3.6999999999999997,,
995632,57484.0,3 Bad Men,tt0017463,,3.75,,3.75,,
875473,7914.0,Berlin: Die Sinfonie der Grosstadt,tt0017668,3.0833333333333335,3.8000000000000003,4.3,3.8000000000000003,,
928941,32060.0,The Cat and the Canary,tt0017739,3.25,3.55,4.7,3.55,,
448916,3022.0,The General,tt0017925,4.011450381679389,4.049999999999972,4.6500000000000306,4.049999999999972,,
859568,7253.0,It,tt0018033,2.8,3.65,4.6,3.65,,
884494,8423.0,The Kid Brother,tt0018051,3.5833333333333335,3.85,5.0,3.85,,
910396,25759.0,Oktyabr,tt0018217,3.5,3.7,4.55,3.7,,
877889,8125.0,Sunrise: A Song of Two Humans,tt0018455,4.152777777777778,4.05,4.900000000000003,4.05,,
755525,25763.0,Die Büchse der Pandora,tt0018737,3.9130434782608696,3.949999999999998,4.599999999999996,3.949999999999998,,
910440,25764.0,The Cameraman,tt0018742,2.9444444444444446,4.05,5.0,4.05,,
415296,2222.0,Champagne,tt0018756,3.0,2.8,3.15,2.8,,
619763,3899.0,The Circus,tt0018773,3.1666666666666665,4.1000000000000005,4.8,4.1000000000000005,4.5,4.5
415298,2223.0,The Farmer's Wife,tt0018876,2.9,2.95,,2.95,,
844566,6985.0,La passion de Jeanne d'Arc,tt0019254,4.029411764705882,4.050000000000003,4.900000000000004,4.050000000000003,,
910463,25769.0,"Steamboat Bill, Jr.",tt0019421,3.760869565217391,3.9500000000000015,5.0,3.9500000000000015,,
397740,2102.0,Steamboat Willie,tt0019422,3.617021276595745,3.8000000000000016,,3.8000000000000016,,
682692,4476.0,Big Business,tt0019688,3.1724137931034484,3.9000000000000017,,3.9000000000000017,,
415293,2221.0,Blackmail,tt0019702,3.3333333333333335,3.5,4.299999999999999,3.5,,
368212,1926.0,The Broadway Melody,tt0019729,3.3333333333333335,2.85,1.8,2.85,,
811919,6433.0,Chelovek s kino-apparatom,tt0019760,4.064516129032258,4.200000000000001,4.849999999999997,4.200000000000001,,
932459,33312.0,The Cocoanuts,tt0019777,3.9558823529411766,3.5,4.75,3.5,,
415282,2220.0,The Manxman,tt0020142,3.25,3.1,4.6,3.1,,
910486,25771.0,Un chien andalou,tt0020530,3.8055555555555554,3.8500000000000005,5.0,3.8500000000000005,,
368376,1927.0,All Quiet on the Western Front,tt0020629,3.8445378151260505,4.0,4.899999999999998,4.0,4.54999999999998,4.54999999999998
872888,7706.0,Animal Crackers,tt0020640,4.175324675324675,3.8000000000000056,4.800000000000007,3.8000000000000056,,
886827,8518.0,Anna Christie,tt0020641,3.8,3.3,,3.3,,
545396,3151.0,The Bat Whispers,tt0020668,,3.2,3.2,3.2,,
812265,6443.0,The Big Trail,tt0020691,2.0,3.6,5.0,3.6,,
711416,4970.0,Der blaue Engel,tt0020697,3.7205882352941178,3.849999999999998,4.75,3.849999999999998,4.400000000000002,4.400000000000002
925155,31042.0,Hell's Angels,tt0020960,3.7142857142857144,3.6999999999999997,3.8000000000000003,3.6999999999999997,,
415278,2218.0,Juno and the Paycock,tt0021015,2.75,2.4,1.35,2.4,,
910496,25773.0,Little Caesar,tt0021079,3.75,3.65,4.549999999999999,3.65,,
977843,50619.0,Le sang d'un poète,tt0021331,0.5,3.7,4.75,3.7,,
910518,25774.0,L'âge d'or,tt0021577,4.0,3.649999999999999,4.450000000000001,3.649999999999999,,
929691,32345.0,Arrowsmith,tt0021622,4.0,3.1,4.45,3.1,,
527318,3307.0,City Lights,tt0021749,4.013636363636364,4.25,4.89999999999999,4.25,4.95000000000002,4.95000000000002
