,id,title,imdbID,spanishTitle,imdbPictureURL,year,rtID,rtPictureURL
0,1,Toy story,tt0114709,Toy story (juguetes),"http://ia.media-imdb.com/images/M/MV5BMTMwNDU0NTY2Nl5BMl5BanBnXkFtZTcwOTUxOTM5Mw@@._V1._SX214_CR0,0,214,314_.jpg",1995.0,toy_story,http://content7.flixster.com/movie/10/93/63/10936393_det.jpg
1,2,Jumanji,tt0113497,Jumanji,"http://ia.media-imdb.com/images/M/MV5BMzM5NjE1OTMxNV5BMl5BanBnXkFtZTcwNDY2MzEzMQ@@._V1._SY314_CR3,0,214,314_.jpg",1995.0,1068044-jumanji,http://content8.flixster.com/movie/56/79/73/5679734_det.jpg
2,3,Grumpy Old Men,tt0107050,Dos viejos gruñones,"http://ia.media-imdb.com/images/M/MV5BMTI5MTgyMzE0OF5BMl5BanBnXkFtZTYwNzAyNjg5._V1._SX214_CR0,0,214,314_.jpg",1993.0,grumpy_old_men,http://content6.flixster.com/movie/25/60/256020_det.jpg
3,4,Waiting to Exhale,tt0114885,Esperando un respiro,"http://ia.media-imdb.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1._SY314_CR4,0,214,314_.jpg",1995.0,waiting_to_exhale,http://content9.flixster.com/movie/10/94/17/10941715_det.jpg
4,5,Father of the Bride Part II,tt0113041,Vuelve el padre de la novia (Ahora también abuelo),"http://ia.media-imdb.com/images/M/MV5BMTg1NDc2MjExOF5BMl5BanBnXkFtZTcwNjU1NDAzMQ@@._V1._SY314_CR5,0,214,314_.jpg",1995.0,father_of_the_bride_part_ii,http://content8.flixster.com/movie/25/54/255426_det.jpg
5,6,Heat,tt0113277,Heat,"http://ia.media-imdb.com/images/M/MV5BMTM1NDc4ODkxNV5BMl5BanBnXkFtZTcwNTI4ODE3MQ@@._V1._SY314_CR1,0,214,314_.jpg",1995.0,1068182-heat,http://content9.flixster.com/movie/26/80/268099_det.jpg
6,7,Sabrina,tt0047437,Sabrina,"http://ia.media-imdb.com/images/M/MV5BMTYyNDM1NTQ5Nl5BMl5BanBnXkFtZTcwMTA5NjEwMg@@._V1._SY314_CR50,0,214,314_.jpg",1954.0,1018047-sabrina,http://content7.flixster.com/movie/10/93/36/10933669_det.jpg
7,8,Tom and Huck,tt0112302,Tom y Huck,"http://ia.media-imdb.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1._SY314_CR2,0,214,314_.jpg",1995.0,tom_and_huck,http://content9.flixster.com/movie/26/16/261691_det.jpg
8,9,Sudden Death,tt0114576,Sudden Death: muerte súbita,"http://ia.media-imdb.com/images/M/MV5BMTcwMTU2OTMxNV5BMl5BanBnXkFtZTcwMzg3MTYyMQ@@._V1._SY314_CR0,0,214,314_.jpg",1995.0,1068470-sudden_death,http://content8.flixster.com/movie/27/91/279122_det.jpg
9,10,GoldenEye,tt0113189,GoldenEye,"http://ia.media-imdb.com/images/M/MV5BNTE1OTExNjU1M15BMl5BanBnXkFtZTcwMTQzNjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg",1995.0,goldeneye,http://content9.flixster.com/movie/26/66/266699_det.jpg
10,11,The American President,tt0112346,El presidente y Miss Wade,"http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1._SY314_CR5,0,214,314_.jpg",1995.0,american_president,http://content7.flixster.com/movie/25/42/254205_det.jpg
11,12,Dracula: Dead and Loving It,tt0112896,"Drácula, un muerto muy contento y feliz","http://ia.media-imdb.com/images/M/MV5BMTc3MjI0NjA0Nl5BMl5BanBnXkFtZTcwNDYwODUyMQ@@._V1._SY314_CR18,0,214,314_.jpg",1995.0,dracula_dead_and_loving_it,http://content8.flixster.com/movie/10/89/17/10891774_det.jpg
12,13,Balto,tt0112453,Balto. La leyenda del perro esquimal,"http://ia.media-imdb.com/images/M/MV5BMTU4NTE3NDU1MF5BMl5BanBnXkFtZTYwMjg5Mjk5._V1._SY216_CR37,0,214,216_.jpg",1995.0,balto,http://content7.flixster.com/movie/25/16/251605_det.jpg
13,14,Nixon,tt0113987,Nixon,"http://ia.media-imdb.com/images/M/MV5BMTQ4ODUxNTU2OV5BMl5BanBnXkFtZTcwOTIwODMyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1995.0,nixon,http://content6.flixster.com/movie/28/30/283016_det.jpg
14,15,Cutthroat Island,tt0112760,La isla de las Cabezas Cortadas,"http://ia.media-imdb.com/images/M/MV5BNjI5MjI5Njk3Ml5BMl5BanBnXkFtZTcwNTQwMTYyMQ@@._V1._SY216_CR39,0,214,216_.jpg",1995.0,cutthroat_island,http://content6.flixster.com/movie/25/69/256908_det.jpg
15,16,Casino,tt0112641,"Casino, de Scorsese","http://ia.media-imdb.com/images/M/MV5BMTQ0NDk5NDc5OF5BMl5BanBnXkFtZTYwMDYyNDA5._V1._SX214_CR0,0,214,314_.jpg",1995.0,1067987-casino,http://content8.flixster.com/movie/10/87/61/10876102_det.jpg
16,17,Sense and Sensibility,tt0114388,Sentido y sensibilidad,"http://ia.media-imdb.com/images/M/MV5BMTQzNjk2OTk3Nl5BMl5BanBnXkFtZTcwNzczNjYyMQ@@._V1._SY314_CR7,0,214,314_.jpg",1995.0,1068832-sense_and_sensibility,http://content6.flixster.com/movie/11/12/50/11125040_det.jpg
17,18,Four Rooms,tt0113101,Four Rooms,"http://ia.media-imdb.com/images/M/MV5BMTcwOTMzODQ5MV5BMl5BanBnXkFtZTcwNjgyMjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg",1995.0,four_rooms,http://content7.flixster.com/movie/93/49/77/9349773_det.jpg
18,19,Ace Ventura: When Nature Calls,tt0112281,"Ace Ventura, operación África","http://ia.media-imdb.com/images/M/MV5BMjA0NTc4OTk1Ml5BMl5BanBnXkFtZTcwNjA0NTQzMQ@@._V1._SY314_CR17,0,214,314_.jpg",1995.0,ace_ventura_when_nature_calls,http://content7.flixster.com/movie/10/94/18/10941853_det.jpg
19,20,Money Train,tt0113845,Asalto al tren del dinero,"http://ia.media-imdb.com/images/M/MV5BNDEwNzcyNjkzNl5BMl5BanBnXkFtZTcwNzQyMzYxMQ@@._V1._SY314_CR4,0,214,314_.jpg",1995.0,money_train,http://content9.flixster.com/movie/11/12/51/11125103_det.jpg
20,21,Get Shorty,tt0113161,Cómo conquistar Hollywood,"http://ia.media-imdb.com/images/M/MV5BMTIzMzk3NDgwNV5BMl5BanBnXkFtZTcwMDEzNDcyMQ@@._V1._SY314_CR17,0,214,314_.jpg",1995.0,get_shorty,http://content7.flixster.com/movie/98/65/89/9865893_det.jpg
21,22,Copycat,tt0112722,Copycat: copia mortal,"http://ia.media-imdb.com/images/M/MV5BMTI5NTU4MDk0MF5BMl5BanBnXkFtZTcwNDIwMTYyMQ@@._V1._SY216_CR35,0,214,216_.jpg",1995.0,1065837-copycat,http://content9.flixster.com/movie/27/27/272723_det.jpg
22,23,Ninja Assassin,tt1186367,Ninja Assassin,"http://ia.media-imdb.com/images/M/MV5BMTcxNDYzMjU1Ml5BMl5BanBnXkFtZTcwMTYzOTM3Mg@@._V1._SX214_CR0,0,214,314_.jpg",2009.0,1198524-ninja_assassin,http://content6.flixster.com/movie/10/89/12/10891232_det.jpg
23,24,Powder,tt0114168,Powder - pura energía,http://ia.media-imdb.com/images/M/MV5BMTIwMTQ3MjY2M15BMl5BanBnXkFtZTcwMTQ0NDUyMQ@@._V1._SX99_SY140_.jpg,1995.0,powder,http://content7.flixster.com/movie/25/59/255901_det.jpg
24,25,Leaving Las Vegas,tt0113627,Leaving Las Vegas,"http://ia.media-imdb.com/images/M/MV5BMTIzOTEzMzQwNF5BMl5BanBnXkFtZTcwNjE0MTYyMQ@@._V1._SX214_CR0,0,214,314_.jpg",1995.0,leaving_las_vegas,http://content7.flixster.com/movie/10/90/25/10902561_det.jpg
25,26,Othello,tt0114057,Otelo,"http://ia.media-imdb.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1._SY314_CR5,0,214,314_.jpg",1995.0,1069707-othello,http://content6.flixster.com/movie/10/92/98/10929892_det.jpg
26,27,Now and Then,tt0114011,Amigas para siempre,"http://ia.media-imdb.com/images/M/MV5BMTY4MjMwNzA1NF5BMl5BanBnXkFtZTcwNzEwNTYyMQ@@._V1._SY314_CR4,0,214,314_.jpg",1995.0,now_and_then,http://content6.flixster.com/movie/55/36/64/5536644_det.jpg
27,28,Persuasion,tt0114117,Persuasión,"http://ia.media-imdb.com/images/M/MV5BNTQ2NDkxNzUwNF5BMl5BanBnXkFtZTcwMzE4NTcyMQ@@._V1._SY314_CR14,0,214,314_.jpg",1995.0,1066528-persuasion,http://content6.flixster.com/movie/11/12/73/11127360_det.jpg
28,29,La cité des enfants perdus,tt0112682,La ciudad de los niños perdidos,"http://ia.media-imdb.com/images/M/MV5BMTI4MDc0ODgyMV5BMl5BanBnXkFtZTcwNjAzMzAyMQ@@._V1._SY314_CR3,0,214,314_.jpg",1995.0,city_of_lost_children,http://content6.flixster.com/movie/26/78/267824_det.jpg
29,30,Yao a yao yao dao waipo qiao,tt0115012,La joya de Shangai,"http://ia.media-imdb.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1._SY314_CR1,0,214,314_.jpg",1995.0,shanghai_triad,http://content8.flixster.com/movie/10/90/31/10903162_det.jpg
30,31,Dangerous Minds,tt0112792,Mentes peligrosas,"http://ia.media-imdb.com/images/M/MV5BMTI3NDIyMjIyM15BMl5BanBnXkFtZTYwMzA3NjU5._V1._SY314_CR1,0,214,314_.jpg",1995.0,dangerous_minds,http://content7.flixster.com/movie/26/98/269813_det.jpg
31,32,Twelve Monkeys,tt0114746,Twelve monkeys: doce monos,"http://ia.media-imdb.com/images/M/MV5BMTQwNzg2OTUzMV5BMl5BanBnXkFtZTYwMTg4ODU5._V1._SX214_CR0,0,214,314_.jpg",1995.0,prem-no-public-issue,http://content6.flixster.com/movie/10/93/02/10930244_det.jpg
