0,Title,Year,Rated,Runtime,Writer,Plot,Language,imdbRating,imdbVotes,imdbID,Rotten Tomatoes,Metacritic,Series,Released_season,Released_month,Released_day,PG_Rating,Available_languages,Oscars_won,Oscars_nominated,Golden_globe_won,Golden_globe_nominated,Unnamed: 0,0
tt0047034,Godzilla,1954.0,Not Rated,96.0,"Takeo Murata, Ishirô Honda, Shigeru Kayama (story), Tomoyuki Tanaka (story ""The Giant Monster from 20,  000 Leagues Under The Sea""), Eiji Tsuburaya (story ""The Giant Monster from 20,  000 Leagues Under The Sea"")","American nuclear weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast.",['Japanese'],7.6,27485.0,tt0047034,9.3,7.8,0.0,2.0,5.0,7.0,,1.0,0.0,0.0,0.0,0.0,,
tt0304141,Harry Potter and the Prisoner of Azkaban,2004.0,PG,142.0,"J.K. Rowling (novel), Steve Kloves (screenplay)","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",['English'],7.9,524511.0,tt0304141,9.0,8.2,0.0,3.0,6.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,,
tt0369436,Four Christmases,2008.0,PG-13,88.0,"Matt Allen (screenplay), Caleb Wilson (screenplay), Jon Lucas (screenplay), Scott Moore (screenplay), Matt Allen (story), Caleb Wilson (story)",A couple struggles to visit all four of their divorced parents on Christmas.,['English'],5.7,61335.0,tt0369436,2.4,4.1,0.0,4.0,11.0,26.0,2.0,1.0,0.0,0.0,0.0,0.0,,
tt1077258,Planet Terror,2007.0,Not Rated,105.0,Robert Rodriguez,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",['English'],7.1,196149.0,tt1077258,7.4,,0.0,3.0,6.0,13.0,,1.0,0.0,0.0,0.0,0.0,,
tt0052182,Separate Tables,1958.0,Approved,100.0,"Terence Rattigan (screenplay), John Gay (screenplay), Terence Rattigan (based on a play by)","The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables.""",['English'],7.4,6337.0,tt0052182,6.9,,0.0,1.0,2.0,11.0,,1.0,2.0,0.0,0.0,0.0,,
tt0379865,Leatherheads,2008.0,PG-13,114.0,"Duncan Brantley, Rick Reilly","In 1925, an enterprising pro football player convinces America's too-good-to-be-true college football hero to play for his team and keep the league from going under.","['English', ' German']",6.0,30598.0,tt0379865,5.1,5.6,0.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,,
tt0118884,Contact,1997.0,PG,150.0,"James V. Hart (screenplay by), Michael Goldenberg (screenplay by), Carl Sagan (based on the novel by), Carl Sagan (based on the story by), Ann Druyan (based on the story by)","Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.","['English', ' Spanish', ' German', ' Russian']",7.4,245382.0,tt0118884,6.5,6.2,0.0,3.0,7.0,11.0,1.0,4.0,0.0,1.0,0.0,0.0,,
tt0305224,Anger Management,2003.0,PG-13,106.0,David Dorfman,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",['English'],6.3,199044.0,tt0305224,4.2,5.2,0.0,2.0,4.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,,
tt0088011,Romancing the Stone,1984.0,PG,106.0,Diane Thomas,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue.","['English', ' Spanish', ' French']",6.9,79986.0,tt0088011,8.4,6.3,0.0,2.0,3.0,30.0,1.0,3.0,0.0,1.0,0.0,0.0,,
tt0186151,Frequency,2000.0,PG-13,118.0,Toby Emmerich,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",['English'],7.3,98267.0,tt0186151,7.0,6.7,0.0,2.0,4.0,28.0,2.0,1.0,0.0,0.0,0.0,1.0,,
tt0105698,Universal Soldier,1992.0,R,102.0,"Richard Rothstein, Christopher Leitch, Dean Devlin",Two rival soldiers who were killed in Vietnam are brought back to life in a top secret military experiment that creates superhuman warriors.,['English'],6.0,80229.0,tt0105698,2.9,3.5,0.0,3.0,7.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,,
tt0268995,The Majestic,2001.0,PG,152.0,Michael Sloane,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",['English'],6.9,51263.0,tt0268995,4.2,2.7,0.0,1.0,12.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,,
tt0381061,Casino Royale,2006.0,PG-13,144.0,"Neal Purvis (screenplay), Robert Wade (screenplay), Paul Haggis (screenplay), Ian Fleming (novel)","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","['English', ' Serbian', ' German', ' Italian', ' French']",8.0,565305.0,tt0381061,9.5,8.0,0.0,4.0,11.0,17.0,2.0,5.0,0.0,0.0,0.0,0.0,,
tt0079574,Moonraker,1979.0,PG,126.0,Christopher Wood (screenplay),"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide.","['English', ' Italian', ' Portuguese']",6.3,87198.0,tt0079574,6.1,6.6,0.0,3.0,6.0,29.0,1.0,3.0,0.0,1.0,0.0,0.0,,
tt0116213,Eraser,1996.0,R,115.0,"Tony Puryear (story), Walon Green (story), Michael S. Chernuchin (story), Tony Puryear (screenplay), Walon Green (screenplay)",A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,['English'],6.1,101034.0,tt0116213,3.7,5.6,0.0,3.0,6.0,21.0,3.0,1.0,0.0,1.0,0.0,0.0,,
tt0368933,The Princess Diaries 2: Royal Engagement,2004.0,G,113.0,"Meg Cabot (characters), Gina Wendkos (story), Shonda Rhimes (story), Shonda Rhimes (screenplay)","Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.","['English', ' Greek', ' French', ' Spanish']",5.8,71463.0,tt0368933,2.6,4.3,0.0,3.0,8.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,,
tt0123755,Cube,1997.0,R,90.0,"André Bijelic, Vincenzo Natali, Graeme Manson",Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.,"['English', ' German', ' French']",7.2,203290.0,tt0123755,6.3,6.1,0.0,3.0,7.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,,
tt0105378,Shadows and Fog,1991.0,PG-13,85.0,Woody Allen,"With a serial strangler on the loose, a bookkeeper wanders around town searching for the vigilante group intent on catching the killer.",['English'],6.7,15431.0,tt0105378,5.0,,0.0,2.0,3.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,,
tt0470765,For Your Consideration,2006.0,PG-13,86.0,"Christopher Guest, Eugene Levy","Three actors learn that their respective performances in the film ""Home for Purim,"" a drama set in the mid-1940s American South, are generating award-season buzz.","['English', ' French']",6.3,13471.0,tt0470765,5.2,6.8,0.0,4.0,11.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,,
tt0120912,Men in Black II,2002.0,PG-13,88.0,"Lowell Cunningham (comic book ""Malibu Comics""), Robert Gordon (story), Robert Gordon (screenplay), Barry Fanaro (screenplay)",Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,['English'],6.2,333641.0,tt0120912,3.9,4.9,0.0,3.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,
