Year,Rated,Released,Runtime,imdbRating,imdbVotes,imdbID,Rotten Tomatoes,Metacritic,Oscars_won,Oscars_nominated,Golden_globe_won,Golden_globe_nominated
1995.0,0.0,11.0,81.0,8.3,852896.0,tt0114709,10.0,9.5,,3.0,,
1995.0,1.0,12.0,104.0,7.0,294340.0,tt0113497,5.4,3.9,,,,
1993.0,2.0,12.0,103.0,7.0,41401.0,tt0107050,6.3,5.3,,,,
1995.0,3.0,12.0,124.0,5.9,9222.0,tt0114885,5.6,,,,,
1995.0,1.0,12.0,106.0,6.0,33005.0,tt0113041,4.8,4.9,,,,1.0
1995.0,3.0,12.0,170.0,8.2,555104.0,tt0113277,8.6,7.6,,,,
1954.0,,10.0,113.0,7.7,56749.0,tt0047437,9.2,7.2,1.0,,,
1995.0,1.0,12.0,97.0,5.5,9519.0,tt0112302,2.5,,,,,
1995.0,3.0,12.0,111.0,5.8,31230.0,tt0114576,5.1,,,,,
1995.0,2.0,11.0,130.0,7.2,231964.0,tt0113189,7.8,6.5,,,,
1995.0,2.0,11.0,114.0,6.8,50016.0,tt0112346,9.1,6.7,,1.0,,
1995.0,2.0,12.0,88.0,5.9,37552.0,tt0112896,1.1,,,,,
1995.0,0.0,12.0,78.0,7.1,38533.0,tt0112453,5.4,,,,,
1995.0,3.0,1.0,192.0,7.1,27958.0,tt0113987,7.4,6.6,,4.0,,
1995.0,2.0,12.0,124.0,5.7,25173.0,tt0112760,3.8,3.7,,,,
1995.0,3.0,11.0,178.0,8.2,445210.0,tt0112641,8.0,7.3,,1.0,,
1995.0,1.0,1.0,136.0,7.6,97761.0,tt0114388,9.8,8.4,1.0,,,
1995.0,3.0,12.0,98.0,6.8,95256.0,tt0113101,1.3,,,,,
1995.0,2.0,11.0,90.0,6.4,196970.0,tt0112281,3.1,4.5,,,,
1995.0,3.0,11.0,110.0,5.7,37900.0,tt0113845,2.2,,,,,
1995.0,3.0,10.0,105.0,6.9,73748.0,tt0113161,8.7,8.2,,,1.0,
1995.0,3.0,10.0,123.0,6.6,52175.0,tt0112722,7.8,5.4,,,,
2009.0,3.0,11.0,99.0,6.3,66289.0,tt1186367,2.5,3.4,,,,
1995.0,2.0,10.0,111.0,6.6,27913.0,tt0114168,5.0,,,,,
1995.0,3.0,2.0,111.0,7.5,111148.0,tt0113627,9.0,8.2,1.0,,,
1995.0,3.0,1.0,123.0,6.9,8720.0,tt0114057,6.7,,,,,
1995.0,2.0,10.0,100.0,6.8,26135.0,tt0114011,2.8,,,,,
1995.0,1.0,9.0,107.0,7.7,8758.0,tt0114117,8.6,,,,,
1995.0,3.0,12.0,112.0,7.5,63369.0,tt0112682,7.9,7.3,,,,
1995.0,3.0,12.0,108.0,7.1,4949.0,tt0115012,8.7,,,1.0,,
