,imdbID,Plot
0,tt0047034,"American nuclear weapons testing results in the creation of a seemingly unstoppable, dinosaur-like beast."
1,tt0304141,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
2,tt0369436,A couple struggles to visit all four of their divorced parents on Christmas.
3,tt1077258,"After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release."
4,tt0052182,"The stories of several people are told as they stay at a seaside hotel in Bournemouth which features dining at ""Separate Tables."""
5,tt0379865,"In 1925, an enterprising pro football player convinces America's too-good-to-be-true college football hero to play for his team and keep the league from going under."
6,tt0118884,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine."
7,tt0305224,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor."
8,tt0088011,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue."
9,tt0186151,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences."
10,tt0105698,Two rival soldiers who were killed in Vietnam are brought back to life in a top secret military experiment that creates superhuman warriors.
11,tt0268995,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son."
12,tt0381061,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
13,tt0079574,"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide."
14,tt0116213,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.
15,tt0368933,"Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor."
16,tt0123755,Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.
17,tt0105378,"With a serial strangler on the loose, a bookkeeper wanders around town searching for the vigilante group intent on catching the killer."
18,tt0470765,"Three actors learn that their respective performances in the film ""Home for Purim,"" a drama set in the mid-1940s American South, are generating award-season buzz."
19,tt0120912,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.
20,tt0264464,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
21,tt0100802,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"
22,tt0496806,"Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff."
23,tt0066999,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough as nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath."
24,tt0356680,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life."
25,tt0051383,An orphan goes to live with his free-spirited aunt. Conflict ensues when the executor of his father's estate objects to the aunt's lifestyle.
26,tt0242653,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
27,tt0120188,"In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help."
28,tt0139414,"Three people attempt to stop a gigantic crocodile, who is terrorizing residents in Black Lake, Maine."
29,tt0257850,The true story of an American town in the wake of the murder of Matthew Shepard.
30,tt0076759,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
31,tt0097322,"The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer."
32,tt0103074,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed."
33,tt0198781,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
34,tt0125022,A mother and daughter con team seduce and scam wealthy men.
35,tt0434139,"Michael'd have a great job, still have his 4 best friends, and be in love with a beautiful girl at 30. He loves Jenna but his life seems predictable until he meets a college girl. It seems that everybody's having relationship problems."
36,tt0163651,Four teenage boys enter a pact to lose their virginity by prom night.
37,tt0335438,"Two streetwise cops bust criminals in their red and white Ford Gran Torino, with the help of a police snitch called ""Huggy Bear""."
38,tt0116695,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
39,tt0431197,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.
40,tt0101745,A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.
41,tt0115678,"New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible food."
42,tt0086066,"The rivalry between two gangs, the poor Greasers and the rich Socs, only heats up when one gang member kills a member of the other."
43,tt0103644,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor."
44,tt0120789,"Two 1990s teenage siblings find themselves in a 1950s sitcom, where their influence begins to profoundly change that complacent world."
45,tt0124315,"A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world."
