,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons,Season,Episode,seriesID
0,Fly Away Home,1996,PG,13 Sep 1996,107 min,"Adventure, Drama, Family",Carroll Ballard,"Bill Lishman (autobiography), Robert Rodat (screenplay), Vince McKewin (screenplay)","Jeff Daniels, Anna Paquin, Dana Delany, Terry Kinney",A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,English,USA,Nominated for 1 Oscar. Another 5 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx._V1_SX300.jpg,N/A,6.8,"22,892",tt0116329,movie,N/A,N/A,N/A,N/A,True,6.8/10,87%,,,,,
0,Bliss,1997,R,14 Apr 1997,103 min,"Drama, Romance",Lance Young,Lance Young,"Craig Sheffer, Sheryl Lee, Terence Stamp, Casey Siemaszko",A newly married happy couple visits a sex therapist to determine why the wife can't achieve an orgasm with her husband. This causes a horrific suppressed memory to emerge and she becomes more and more distant.,English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjA2NTgzNTY2Ml5BMl5BanBnXkFtZTcwMTc0MDgxMQ@@._V1_SX300.jpg,N/A,6.0,"1,962",tt0118742,movie,N/A,N/A,N/A,N/A,True,6.0/10,46%,,,,,
0,Grace of My Heart,1996,R,13 Sep 1996,116 min,"Comedy, Drama, Music",Allison Anders,Allison Anders,"Illeana Douglas, Sissy Boyd, Christina Pickles, Jill Sobule","An aspiring singer, Denise Waverly/Edna Buxton, sacrifices her own singing career to write hit songs that launch the careers of other singers. The film follows her life from her first break...",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxMzMxNzM2NF5BMl5BanBnXkFtZTYwMTY3NzU5._V1_SX300.jpg,N/A,6.7,"3,425",tt0116442,movie,N/A,N/A,N/A,N/A,True,6.7/10,75%,,,,,
0,Brother of Sleep,1995,R,13 Sep 1996,127 min,"Drama, Music, Romance",Joseph Vilsmaier,"Robert Schneider (novel), Robert Schneider (screenplay)","André Eisermann, Dana Vávrová, Ben Becker, Jochen Nickel","In the beginning of the 19th century, Johannes Elias Alder is born in a small village in the Austrian mountains. While growing up he is considered strange by the other villagers and ...",German,Germany,Nominated for 1 Golden Globe. Another 6 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ5OTg5NTY4M15BMl5BanBnXkFtZTcwODA0MDUxMQ@@._V1_SX300.jpg,N/A,7.0,"1,480",tt0114354,movie,N/A,N/A,N/A,N/A,True,7.0/10,71%,,,,,
0,Maximum Risk,1996,R,13 Sep 1996,101 min,"Action, Romance, Thriller",Ringo Lam,Larry Ferguson,"Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier","A cop/flic discovers that he had a twin who just got murdered in Nice, France. In order to find out who did it, he takes his place including the cute girlfriend in Little Odessa, NYC.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzY5ZWQ0OTMtZjdiYy00YzhmLTg5MDAtMzRlMTllMDliMDJkXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,N/A,5.5,"19,471",tt0117011,movie,N/A,N/A,N/A,N/A,True,5.5/10,29%,,,,,
0,Michael Collins,1996,R,25 Oct 1996,133 min,"Biography, Drama, Thriller, War",Neil Jordan,Neil Jordan,"Ian Hart, Julia Roberts, Richard Ingram, Liam Neeson","Neil Jordan's historical biopic of Irish revolutionary Michael Collins, the man who led a guerrilla war against the UK, helped negotiate the creation of the Irish Free State, and led the National Army during the Irish Civil War.",English,"UK, Ireland, USA",Nominated for 2 Oscars. Another 4 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BZjE5NGFmMGYtNmU1MC00ZWQxLWIzMzEtZjgzZjljMWNmYjE1XkEyXkFqcGdeQXVyNTYzNDI3MzQ@._V1_SX300.jpg,60,7.2,"28,702",tt0117039,movie,N/A,N/A,N/A,N/A,True,7.2/10,77%,60/100,,,,
0,The Rich Man's Wife,1996,R,13 Sep 1996,95 min,Thriller,Amy Holden Jones,Amy Holden Jones,"Halle Berry, Peter Greene, Clive Owen, Frankie Faison",A rich man's wife goes on a trip to a cabin with her husband. He's preoccupied with business and leaves early. A man she meets offers to kill her husband. He's crazy and she leaves. He later tracks down the couple.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTI5Njg3ZjUtZDg3YS00NDg5LThlNzQtYjI2OTA4NzQzOTYyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,N/A,5.2,"3,003",tt0117473,movie,N/A,N/A,N/A,N/A,True,5.2/10,13%,,,,,
0,Infinity,1996,PG,04 Oct 1996,119 min,"Biography, Drama",Matthew Broderick,"Richard Feynman (books), Ralph Leighton (books), Patricia Broderick (screenplay)","Matthew Broderick, Jeffrey Force, Peter Riegert, David Drew Gallagher",Story of the early life of genius and Nobel Prize-winning physicist Richard Feynman.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYzYxZjlhMTMtMmNjMy00MTUyLThhYjItMDhhMWQ1M2JmMGEzXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,N/A,6.2,"1,640",tt0116635,movie,N/A,N/A,N/A,N/A,True,6.2/10,62%,,,,,
0,Big Night,1996,R,20 Sep 1996,109 min,"Drama, Romance","Campbell Scott, Stanley Tucci","Stanley Tucci, Joseph Tropiano","Marc Anthony, Tony Shalhoub, Stanley Tucci, Larry Block","New Jersey, 1950s. Two brothers run an Italian restaurant. Business is not going well as a rival Italian restaurant is out-competing them. In a final effort to save the restaurant, the brothers plan to put on an evening of incredible food.","English, Italian",USA,9 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BNTlhODIzNzEtNjE3ZC00NjBjLWE3ZTQtN2U1YjQ0ZGUxODc1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,80,7.3,"16,385",tt0115678,movie,N/A,N/A,N/A,N/A,True,7.3/10,96%,80/100,,,,
0,Last Man Standing,1996,R,20 Sep 1996,101 min,"Action, Crime, Drama, Thriller",Walter Hill,"Ryûzô Kikushima (story), Akira Kurosawa (story), Walter Hill (screenplay)","Bruce Willis, Bruce Dern, William Sanderson, Christopher Walken",A drifting gunslinger-for-hire finds himself in the middle of an ongoing war between the Irish and Italian mafia in a Prohibition era ghost town.,"English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BOThkYmJjYTMtOWMzNC00ZjQ4LWI4NzAtYjRlMDA3ZWMyYWRmXkEyXkFqcGdeQXVyNDIyMjczNjI@._V1_SX300.jpg,N/A,6.4,"52,093",tt0116830,movie,N/A,N/A,N/A,N/A,True,6.4/10,37%,,,,,
