,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Antonio Gades, Cristina Hoyos, Laura del Sol, Juan Antonio Jiménez",2 wins & 2 nominations.,N/A,Spain,16 Oct 2007,Carlos Saura,,"Music, Drama",7.1/10,Spanish,,N/A,"In a Gypsy village, the fathers of Candela and José promise their children to each other. Years later, the unfaithful José marries Candela but while defending his lover Lucía in a brawl, he...",https://m.media-amazon.com/images/M/MV5BZDQ0MGMwYjUtMjkxYy00ODg3LThhMjMtOWE5ZDY0YzU3NDZiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Orion Classics,PG,23 Dec 1986,True,,100 min,,El amor brujo,movie,N/A,"Gregorio Martínez Sierra (libretto), Carlos Saura (screenplay), Antonio Gades (screenplay), María Lejárraga",1986,tt0090636,7.1,733,,
0,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette",Nominated for 1 Oscar. Another 2 wins.,N/A,USA,N/A,Preston Sturges,,"Comedy, Romance",7.8/10,English,96/100,96,"A trio of classy card sharks targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him.",https://m.media-amazon.com/images/M/MV5BOTQzNWM4Y2QtMWVhYS00MTNkLTgxMGMtNjM5Y2FmNjQ2MWFiXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,N/A,Passed,21 Mar 1941,True,100%,94 min,,The Lady Eve,movie,N/A,"Monckton Hoffe (screen play: based on a story by), Preston Sturges",1941,tt0033804,7.8,"18,171",,
0,"Joel McCrea, Veronica Lake, Robert Warwick, William Demarest",2 wins.,N/A,USA,N/A,Preston Sturges,,"Adventure, Comedy, Drama, Romance",7.9/10,English,,N/A,"A Hollywood director, John L Sullivan, sets out to experience life as a poor, homeless person in order to gain relevant life experience for his next movie.",https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,N/A,Not Rated,06 Feb 1942,True,100%,90 min,,Sullivan's Travels,movie,N/A,Preston Sturges,1941,tt0034240,7.9,"23,008",,
0,"Claudette Colbert, Joel McCrea, Mary Astor, Rudy Vallee",1 win.,N/A,USA,01 Feb 2005,Preston Sturges,,"Comedy, Romance",7.5/10,English,,N/A,"An inventor needs cash to develop his big idea. His wife, who loves him, decides to raise it for him by divorcing him and marrying a millionaire.",https://m.media-amazon.com/images/M/MV5BMjU3MTlmNmUtZmMxZS00YTNmLTlkZWQtOTBhYjNkYjkyMWUxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,MCA Universal Home Video,Passed,01 Jan 1943,True,97%,88 min,,The Palm Beach Story,movie,N/A,Preston Sturges,1942,tt0035169,7.5,"10,416",,
0,"Lorenzo Quinteros, Hugo Soto, Inés Vernengo, Cristina Scaramuzza",13 wins & 2 nominations.,N/A,Argentina,N/A,Eliseo Subiela,,"Drama, Mystery, Sci-Fi",7.8/10,Spanish,,N/A,A patient in a mental hospital claims to be an extraterrestial. Could he be right?,https://m.media-amazon.com/images/M/MV5BMTYxNDYzODUxNF5BMl5BanBnXkFtZTcwNzU1NDM0MQ@@._V1_SX300.jpg,N/A,R,13 Mar 1987,True,86%,105 min,,Man Facing Southeast,movie,N/A,Eliseo Subiela,1986,tt0091214,7.8,"3,299",,
0,"Marilyn Monroe, Joseph Cotten, Jean Peters, Max Showalter",N/A,N/A,USA,N/A,Henry Hathaway,,"Film-Noir, Thriller",7.0/10,English,,N/A,"As two couples are visiting Niagara Falls, tensions between one wife and her husband reach the level of murder.",https://m.media-amazon.com/images/M/MV5BMDBhNWE4Y2UtMTA5Mi00YzYyLTliMWMtMjc3OGU0ZWFiMGVhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,Not Rated,01 Feb 1953,True,84%,92 min,,Niagara,movie,N/A,"Charles Brackett, Walter Reisch, Richard L. Breen",1953,tt0046126,7.0,"13,956",,
0,"Rita Hayworth, Glenn Ford, George Macready, Joseph Calleia",1 win & 1 nomination.,N/A,USA,N/A,Charles Vidor,,"Drama, Film-Noir, Romance, Thriller",7.7/10,"English, Spanish, French, German",,N/A,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,https://m.media-amazon.com/images/M/MV5BYWUxMzViZTUtNTYxNy00YjY4LWJmMjYtMzNlOThjNjhiZmZkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,N/A,Not Rated,25 Apr 1946,True,97%,110 min,,Gilda,movie,N/A,"E.A. Ellington (story), Jo Eisinger (adaptation), Marion Parsonnet (screenplay)",1946,tt0038559,7.7,"26,247",,
0,"Rossano Brazzi, Mitzi Gaynor, John Kerr, Ray Walston",Won 1 Oscar. Another 10 nominations.,N/A,USA,N/A,Joshua Logan,,"Musical, Romance, War",6.8/10,"English, French",,N/A,"On a South Pacific island during World War II, love blooms between a young nurse and a secretive Frenchman who's being courted for a dangerous military mission.",https://m.media-amazon.com/images/M/MV5BNjc1MDM0MDM4Nl5BMl5BanBnXkFtZTgwMDMwMTgxMTE@._V1_SX300.jpg,N/A,Approved,14 Apr 1958,True,80%,157 min,,South Pacific,movie,N/A,"Paul Osborn (screenplay), Richard Rodgers (adapted from the play ""South Pacific""), Oscar Hammerstein II (adapted from the play ""South Pacific""), Joshua Logan (adapted from the play ""South Pacific""), James A. Michener (based on ""Tales of the South Pacific"" by)",1958,tt0052225,6.8,"7,688",,
0,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson",Won 1 Oscar. Another 10 wins & 14 nominations.,N/A,USA,N/A,Adrian Lyne,,"Drama, Music, Romance",6.2/10,English,39/100,39,A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.,https://m.media-amazon.com/images/M/MV5BMjA5NjE2OTUxOF5BMl5BanBnXkFtZTgwNDE1NDIxMDE@._V1_SX300.jpg,N/A,R,15 Apr 1983,True,36%,95 min,,Flashdance,movie,N/A,"Thomas Hedley Jr. (screenplay), Joe Eszterhas (screenplay), Thomas Hedley Jr. (story)",1983,tt0085549,6.2,"45,557",,
0,"Catherine Deneuve, Vincent Perez, Linh Dan Pham, Jean Yanne",Won 1 Oscar. Another 11 wins & 13 nominations.,N/A,France,21 Mar 2000,Régis Wargnier,,"Drama, Romance, War",7.1/10,"French, Vietnamese",,N/A,"Eliane adopts Camille, whose Vietnamese parents were friends. In 1930, a French navy officer is interested in Eliane (owns 60km2 plantation) and later in Camille. There's an uprising in Vietnam against French colonial power.",https://m.media-amazon.com/images/M/MV5BZWJiNjFmOGYtMWY4ZC00MGUxLTgzOTUtNGJjNWQzNGZlZDc0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG-13,23 Dec 1992,True,72%,159 min,,Indochine,movie,N/A,"Erik Orsenna (original scenario & adaptation and dialogue), Louis Gardel (original scenario & adaptation and dialogue), Catherine Cohen (original scenario & adaptation and dialogue), Régis Wargnier (original scenario & adaptation and dialogue)",1992,tt0104507,7.1,"8,915",,
0,"Lee Marvin, Ernest Borgnine, Charles Bronson, Jim Brown",Won 1 Oscar. Another 3 wins & 8 nominations.,N/A,"UK, USA",N/A,Robert Aldrich,,"Action, Adventure, War",7.7/10,"English, German, French, Spanish, Latin",73/100,73,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",https://m.media-amazon.com/images/M/MV5BM2Y1ZTI0NzktYzU3MS00YmE1LThkY2EtMDc0NGYxNTNlZDA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,Not Rated,22 Oct 1967,True,86%,150 min,,The Dirty Dozen,movie,N/A,"Nunnally Johnson (screenplay), Lukas Heller (screenplay), E.M. Nathanson (novel)",1967,tt0061578,7.7,"65,068",,
