,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons
0,Faces of Death II,1981,N/A,10 Nov 1981,85 min,"Documentary, Horror",John Alan Schwartz,John Alan Schwartz,Michael Carr,"This movie continues in the same vein as F.O.D. 1 with short scenes of death related material. Mortuarys, accidents, police work are filmed by TV crews and home video cameras. Some of the ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjAzZTlhODQtZWM5MC00ZDg5LWJlYzktMTI1OTM4Zjc3ZTEwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,3.6,"1,619",tt0085518,movie,N/A,N/A,N/A,N/A,True,3.6/10,,,
0,Faces of Death,1978,Not Rated,10 Nov 1978,105 min,"Documentary, Horror",John Alan Schwartz,John Alan Schwartz,"Michael Carr, Samuel Berkowitz, Mary Ellen Brighton, Thomas Noguchi","A collection of death scenes, ranging from TV material to homemade super 8 movies.","English, German",USA,N/A,https://m.media-amazon.com/images/M/MV5BMDMxYmMyMjMtMzIyZi00ZGFmLWE3MTYtNWM3MDM4OGRmYjQ2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,4.2,"5,890",tt0077533,movie,N/A,N/A,N/A,N/A,True,4.2/10,25%,,
0,Faces of Death III,1985,N/A,10 Mar 1985,91 min,"Documentary, Horror",John Alan Schwartz,"Veronica Lakewood, John Alan Schwartz",Michael Carr,The third installment of the Faces of Death series.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDFlZDBiY2EtYWU3Yi00NDk4LTljMzItMDk3ZWU2ZjZmZTE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,3.0,"1,231",tt0121261,movie,08 Oct 1996,N/A,N/A,N/A,True,3.0/10,,,
0,Faces of Death IV,1990,Unrated,28 Nov 1990,90 min,"Documentary, Horror","John Alan Schwartz, Susumu Saegusa(co-director), Andrew Theopolis(co-director)",James B. Schwartz,"James B. Schwartz, John Zimmerman",Follows the same pattern of the other Faces of Death movies. In this one we see many staged and not so staged looking deaths ranging from bungee jumping accidents and magic tricks gone bad.,English,"USA, Japan",N/A,https://m.media-amazon.com/images/M/MV5BZGRkODRmMWQtY2UzOS00NGViLWJlODUtMWMzYzY4NTQ4NGIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,3.2,"1,003",tt0121262,movie,N/A,N/A,N/A,N/A,True,3.2/10,,,
0,Faces of Death V,1995,Not Rated,N/A,90 min,"Documentary, Horror",John Alan Schwartz,N/A,"Clyde Barrow, Michael Carr, Bonnie Parker, Ronald Reagan",The fifth entry in the Faces of Death series.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWJmODU2ZjUtOTNhNy00MmNmLTk1NTItYmFmZjU2ODIyYTVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,2.9,377,tt0160303,movie,N/A,N/A,N/A,N/A,True,2.9/10,,,
0,Faces of Death VI,1996,Unrated,N/A,70 min,"Documentary, Horror",John Alan Schwartz,N/A,Samuel Berkowitz,"Faces of Death VI is a direct-to-video compilation of the highlights of the earlier films in the Faces of Death series. It features many of the same scenes shown in Faces of Death 1 and 4, ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDhjODhmYmUtMjlhZi00NTA5LThiZTUtZGZkOTk4YjdmMDJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,2.4,321,tt0223250,movie,N/A,N/A,N/A,N/A,True,2.4/10,,,
0,Faces of Death: Fact or Fiction?,1999,Unrated,19 Oct 1999,54 min,"Documentary, Horror",John Alan Schwartz,"James B. Schwartz, John Alan Schwartz","Louise Jane, James B. Schwartz, John Alan Schwartz",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTEwMjUzMzg5NTNeQTJeQWpwZ15BbWU3MDc3NzM5MTE@._V1_SX300.jpg,N/A,3.0,257,tt0223251,movie,N/A,N/A,N/A,N/A,True,3.0/10,25%,,
0,The Woman Next Door,1981,R,30 Sep 1981,106 min,"Drama, Romance",François Truffaut,"François Truffaut (original scenario), Suzanne Schiffman (original scenario), Jean Aurel (original scenario)","Gérard Depardieu, Fanny Ardant, Henri Garcin, Michèle Baumgartner",Two ex-lovers wind up living next door to each other with their respective spouses. Forbidden passions ensue.,French,France,2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTY5MDkwODA4N15BMl5BanBnXkFtZTcwMzE2NDQ4Ng@@._V1_SX300.jpg,N/A,7.3,"6,363",tt0082370,movie,N/A,N/A,N/A,N/A,True,7.3/10,83%,,
0,First Monday in October,1981,R,21 Aug 1981,98 min,"Comedy, Drama",Ronald Neame,"Jerome Lawrence (play), Jerome Lawrence (screenplay), Robert E. Lee (play), Robert E. Lee (screenplay)","Walter Matthau, Jill Clayburgh, Barnard Hughes, Jan Sterling","For the first time in history a woman is appointed to the U.S. Supreme Court, where she becomes a friendly rival to a liberal associate.",English,USA,Nominated for 2 Golden Globes. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BNGJjODFlMjctMmM0Yy00NzE4LWFmMzgtNmY0MmFiZTI1ZGNiL2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg,N/A,6.4,"1,292",tt0082382,movie,N/A,N/A,N/A,N/A,True,6.4/10,,,
0,Fort Apache the Bronx,1981,R,06 Feb 1981,125 min,"Crime, Drama",Daniel Petrie,"Heywood Gould, Thomas Mulhearn (suggested by the experiences of), Pete Tessitore (suggested by the experiences of)","Paul Newman, Edward Asner, Ken Wahl, Danny Aiello","In New York, South Bronx's main police precinct is nicknamed Fort Apache by its employees who feel like troopers surrounded by hostiles in a wild west isolated outpost.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGY2OWViYmUtMjU4Ny00ZTM1LTlhZWItYmEwOGEyMDAwM2YwXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,49,6.7,"5,376",tt0082402,movie,N/A,N/A,N/A,N/A,True,6.7/10,86%,49/100,
