,knn_metric,mean,Fold,Testsize,data,set_k,RMSE
0,cosine,False,0,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.7998149236829937
8,cosine,False,8,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8032283724130602
7,cosine,False,7,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8048459046791226
3,cosine,False,3,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8069565348965053
2,cosine,False,2,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8073930425258502
9,cosine,False,9,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8078172426787046
6,cosine,False,6,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8099375545148093
4,cosine,False,4,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.810005601122022
5,cosine,False,5,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8112758113273519
1,cosine,False,1,25000,"Index([       'user_id',         'imdbID',         'rating',           'Year',
              'Runtime',     'imdbRating',      'imdbVotes', 'RottenTomatoes',
           'Metacritic',         'Awards',                0,                1,
                      2,                3,                4,                5,
                      6,                7,                8,                9,
                     10,               11,               12,               13,
                     14,               15,               16,               17,
                     18,               19],
      dtype='object')",False,0.8160378639300775
