,Features,Parameters_knn,RMSE,Sample_size,Runtime
0,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.7980854695248291,100,4.339132308959962
1,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 20', 'Genres', 'Language: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Keywords: 10', 'Plots: 100', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8251571916306406,100,103.793790102005
2,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 20', 'Genres', 'Language: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Keywords: 10', 'Plots: 100', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8394831122499194,100,106.21741199493408
3,"['Actors: 20', 'imdb_ratings']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8514808391528517,10000,401.47868490219116
4,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8575234820237999,10000,396.0653295516968
5,"['Actors: 20', 'imdb_ratings', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.860020624591191,10000,486.9503610134125
6,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8660771472565247,10000,611.9074630737305
7,"['Actors: 20', 'imdb_ratings', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8729717551431878,10000,659.6170003414154
8,"['Actors: 20', 'imdb_ratings', 'PG_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8744591123469792,10000,747.0515782833099
9,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8761280167114088,10000,600.3970041275022
10,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.8795557955581897,10000,403.16135573387146
11,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9050638829969714,100000,4381.748258590698
12,"['Actors: 20', 'Genres', 'imdb_ratings', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9083688590912099,10000,455.2601010799408
13,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 20', 'Genres', 'Language: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Keywords: 10', 'Plots: 100', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.9087524258796568,100,100.37320184707642
14,"['Actors: 20', 'Genres', 'imdb_ratings']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9091678522754262,10000,404.60416626930237
15,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9102691753908108,10000,397.4063310623169
16,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9121430895606968,10000,404.4044363498688
17,"['Actors: 20', 'Genres', 'imdb_ratings']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9123221899818801,10000,407.5120174884796
18,"['Actors: 20', 'Genres', 'imdb_ratings', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9129173820170636,10000,569.8384087085724
19,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9143648657067314,100000,6108.306767225266
20,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9177173582984156,10000,404.08300709724426
21,"['Actors: 20', 'Genres', 'imdb_ratings', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9188261043309556,10000,584.7106461524962
22,"['Actors: 20', 'Genres', 'imdb_ratings', 'PG_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9194273459303048,10000,574.794704914093
23,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'PG_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9232337459832272,10000,587.5419733524323
24,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9239171771743276,10000,611.2127130031587
25,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9242272876120172,10000,612.9149765968323
26,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'NEWKeywords: 200', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9277118726259308,10000,827.4180681705475
27,"['Actors: 20', 'Genres', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9287675366970048,10000,408.83275389671326
28,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9322368112353332,100,4.775415182113648
29,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9326700558373018,10000,432.1602203845978
30,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9360125172774132,10000,622.2375953197478
31,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'PG_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9364669496451958,10000,617.1301701068877
32,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 20', 'Genres', 'Language: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Keywords: 10', 'Plots: 100', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.9366991466529456,100,92.15948939323424
33,"['Actors: 20', 'Genres', 'imdb_ratings', 'NEWKeywords: 200', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.937035262439763,10000,853.286048412323
34,"['Actors: 20', 'imdb_ratings', 'PG_Rating', 'NEWKeywords: 200', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9373466130816048,10000,1007.9291927814484
35,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9379798804404662,10000,645.8135848045349
36,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.938193190230266,100000,6502.553457260132
37,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9387806987139105,10000,637.7028827667236
38,"['Actors: 20', 'Genres', 'imdb_ratings', 'PG_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9389966560110852,10000,652.4263002872468
39,"['Actors: 20', 'Genres', 'imdb_ratings', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9392125806582164,10000,20196.96584224701
40,"['Actors: 20', 'imdb_ratings', 'PG_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9392234607199006,10000,750.6297957897186
41,"['Actors: 20', 'imdb_ratings', 'PG_Rating', 'NEWKeywords: 200', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.939245126270146,10000,878.9458186626434
42,"['Actors: 20', 'Genres', 'PG_Rating', 'NEWKeywords: 200']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9401849436857268,10000,612.5826590061188
43,"['Actors: 20', 'Genres', 'imdb_ratings', 'NEWKeywords: 200', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9408114892651628,10000,893.8153216838838
44,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9416294393821336,10000,420.54360938072205
45,"['Actors: 20', 'Genres']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9431441899601332,10000,405.58385467529297
46,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.944131551185768,100000,4640.274398088455
47,"['Actors: 20', 'Genres', 'PG_Rating', 'NEWKeywords: 200', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9442224971724972,10000,840.5070598125458
48,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'NEWKeywords: 200', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9450452631723226,10000,660.2343745231627
49,"['Actors: 20', 'Genres', 'imdb_ratings', 'PG_Rating', 'NEWKeywords: 200', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.945828029353704,10000,893.9600875377655
50,"['Actors: 20', 'Genres', 'PG_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9458908525828972,10000,655.1414110660552
51,"['Actors: 20', 'Genres', 'imdb_ratings', 'RottenTomatoes_Rating', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9459299288413374,10000,427.37303757667536
52,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9464074055195376,10000,429.195814371109
53,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'NEWKeywords: 200', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9465357400659642,10000,1152.3198096752167
54,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'NEWKeywords: 200']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9469851965580032,10000,632.5951657295228
55,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9470167553955948,10000,640.4067130088806
56,"['Actors: 20', 'Genres', 'PG_Rating', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9470436263857002,10000,618.4731063842772
57,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'NEWKeywords: 200', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.94723423669474,10000,866.2802028656006
58,"['Actors: 20', 'Genres', 'NEWKeywords: 200']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9472633995122768,10000,621.4195580482482
59,"['Actors: 20', 'Genres', 'NEWKeywords: 200', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.94756359490479,10000,896.1865322589874
60,"['Actors: 20', 'Genres', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9476072848964856,10000,435.8256576061249
61,"['Actors: 20', 'Genres', 'imdb_ratings', 'Plots: 150', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9476947555633208,10000,653.9358344078064
62,"['Actors: 20', 'Genres', 'PG_Rating', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9481201939744888,10000,427.4944679737091
63,"['Actors: 20', 'imdb_ratings', 'RottenTomatoes_Rating', 'PG_Rating', 'NEWKeywords: 200', 'Directors: 3']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9482810672474696,10000,865.5389339923859
64,"['Actors: 20', 'Genres', 'RottenTomatoes_Rating', 'NEWKeywords: 200', 'Plots: 150']","[('mean', True), ('knn_metric', 'minkowski'), ('set_k', False)]",0.9487083463261452,10000,656.5969684123992
