,Features,Parameters_knn,RMSE,Sample_size,Runtime
0,"['Year', 'Runtime', 'Series', 'Actors: 50', 'Language: 20', 'PG_Rating', 'Keywords: 15', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.8834576001187585,1000,419.5599513053894
0,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.8935232226665654,10000,426.7849235534668
1,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20', 'Directors: 5']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.9017847036109377,10000,982.5110235214232
2,"['Year', 'Runtime', 'Series', 'Actors: 50', 'Language: 20', 'PG_Rating', 'Keywords: 15', 'Directors: 5']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.9033239974917329,1000,421.54108452796936
3,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20', 'Plots: 100', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.9033618431493032,10000,936.3114519119264
4,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20', 'Plots: 100', 'Directors: 5']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.9144167772411004,10000,1075.6829724311826
5,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20', 'Directors: 5']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.9167444417877229,10000,920.9418201446533
6,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.9201777802450412,10000,409.003096818924
7,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20', 'Plots: 100']","[('mean', True), ('knn_metric', 'cosine'), ('set_k', False)]",0.9255648739193452,10000,785.9531359672546
8,"['Year', 'Runtime', 'imdbVotes', 'Series', 'Awards', 'Actors: 50', 'Language: 20', 'Plots: 100']","[('mean', False), ('knn_metric', 'cosine'), ('set_k', False)]",0.9269673933485164,10000,791.8461754322052
